ITEM NO.,DESCRIPTION,QUANTITY
SF-XT0199,XTREME RIPPLED Flamin Hot 40g x 36pkts,764.5864
SF-XT0198,XTREME RIPPLED Creamy Cheddar 40g x 36pkts,730.2447
SF-XT0197,XTREME RIPPLED Thai Sweet Chili 250g x 12pkts,65.0
SF-XT0196,XTREME RIPPLED Flaming Hot 250g x 12pkts,133.08
SF-KM0001,KARMOUCH-CP-4bx25px14g,0.0
SF-KM0003,KARMOUCH-CP-4bx25px15g,0.0
SF-KM0002,KARMOUCH-CP 5x20x12g,169.4
SF-SP1508,Brown Roller for Forming machine ,0.0
SF-SP1507,Traingular Die Forming Roller ,0.0
SF-SP1506,Sheeting Roller For ES-250,0.0
SF-SP1505,Pipe For Heater,0.0
SF-SP1509,Gear ,2.0
SF-SP1522,Vertical Heater Bar (OLD),4.0
SF-SP1521,Spring for Upper Jaw,0.0
SF-SP1520,Electrostatic Cable ,25.0
SF-SP1526,VJ Perforated Cover Assy Spare ,1.0
SF-SP1525,Model KSB 32-2100 pump,0.0
SF-SP1524,Back Sleeve 90E/ES,1.0
SF-KM0004,KARMOUCH-CP-5bx20px14g,0.0
SF-SP1519,Safety Nut set SKE2003-11,0.0
SF-SP1518,Proximity Switch:IGA2008-BBOA,1.0
SF-SP1517,Proximity Switch:IGA2008-ABOA-IG0012,0.0
SF-SP1516,Debris remover drum Wheel,4.0
LR-E0465,Chocodate Excl Real Extra Dark 85% 10x33g Tent V2,0.0
LR-E0464,Chocodate Excl Real Milk 10x33g Tent  V2,0.0
LR-E0466,Chocodate Excl Real White 10X33gTent V2,0.0
SF-SP1500,Forming roller Balloon Shape ,0.0
SF-SP1504,IGBT,0.0
SF-SP1503,Board (SMX-4-30K),0.0
SF-SP1502,Diode,0.0
SF-SP1501,Platform Weighing Scale ,0.0
WOODEN PALLETS,USED WOODEN PALLETS,0.0
SF-SP0223,MICA Band Heater,0.0
SF-SP1555,Tape Drum Assembly ,3.0
SF-SP0224,MICA Band Heater,0.0
SF-SP1554,Blade ,19.0
SF-SP0221,MICA Band Heater,0.0
SF-SP1553,Plate Blade ,8.0
SF-SP0222,Bearing,3.0
SF-SP1552,Spring Blade Guard ,5.0
SF-SP0227,SLIT:PH,2.0
SF-SP1559,Second Belt Wheel ,6.0
SF-SP0228,Spacer:Heater:Back Seal,0.0
SF-SP1558,Main Belt Wheel ,6.0
SF-SP0225,Damper Heater Back Seal,50.0
SF-SP1557,Drive Belt,10.0
SF-SP0226,Bush ,0.0
SF-SP1556,Plastic Cap Roller ,50.0
SF-SP1551,Bushing Buffing Roller ,2.0
SF-SP0220,MICA Band Heater,0.0
SF-SP1550,Roller Buffing MM,1.0
SF-SP0218,ZZE 6000 ,6.0
SF-SP0219,Liner Bush LM10UU ,6.0
SF-SP1549,Spring ,2.0
SF-SP0234,Hanger Deflator,4.0
SF-SP1566,Bearing Radial Angular ,4.0
SF-SP0235,Hanger Spring,39.0
SF-SP1565,Bearing:Radial:Angular,0.0
SF-SP0232,Timing Belt S8M(560),8.0
SF-SP1564,Spacer ,2.0
SF-XT0201,XTREME FPC CRINKLE Creamy Cheddar 120g x 12pkts,294.4167
SF-SP0233,Hanger Deflator,4.0
SF-SP1563,PWB AS:P5605(RCU Board),0.0
SF-XT0200,XTREME RIPPLED Thai Sweet Chilli 40g x 36pkts,604.6415
SF-SC0041,SOLO FPC SALT & VIN 4bx20px13g,0.0
SF-SP0238,Accessory:lock Nut:,13.0
SF-SC0040,SOLO FPC SALT & VIN 5x20x12g,0.0
SF-SP0239,Connector:PG Bolt:,0.0
SF-SP1569,F13GZ PVC rough conveyor blet,0.0
SF-SP0236,Heater Cartridge ,4.0
SF-SP1568,Pyromine fixed infrared tempsensor with remotehead,0.0
SF-SP0237,Accessory: Sus Protect:,5.0
SF-SP1567,Impeller For Pump ,0.0
SF-SC0045,SOLO FPC HOT 5bx20px13g,0.0
SF-SC0044,SOLO FPC SALT & VIN 2bx25px17g,0.0
SF-SC0043,SOLO FPC SALT & VIN 4bx25px15g,0.0
SF-SC0042,SOLO FPC SALT & VIN 2bx25px15g,0.0
SF-SC0049,SOLO FPC HOT 8bx12px12g,0.0
SF-SP0230,Switch:Push:Emergency,1.0
SF-SP1562,Gasket (1 set -4 pieces),4.0
SF-SC0048,SOLO FPC KETCHUP 8bx12px12g,0.0
SF-SP0231,Roller:: ,8.0
SF-SP1561,Gap,2.0
SF-SC0047,SOLO FPC FRENCH CHEESE 5bx20px13g,0.0
SF-SP1560,Main Washer ,6.0
SF-SC0046,SOLO FPC KETCHUP 5bx20px13g,0.0
SF-SP0229,Bush,5.0
SF-SP0201,Power board 6A/800W 1PH.230V,0.0
SF-SP0202,Brass gear for k-Tron flavor applicator,0.0
SF-SP1531,Conveyor Motor Controller,3.0
SF-SP0200,S pic-up phonix plu/part number- K-TRON/0000000237,1.0
SF-SP1530,ZKTECO F22 Bio & Card Recongnition Function ,0.0
SF-SP0205,6 of Pin Plugs female,6.0
SF-SP0206,Snap Ring 70-2x4,0.0
SF-SP0203,Digi Drive Option board,3.0
SF-SP0204,6 of Pin Plugs male,6.0
MB-M0234,Luxury Chocolate Mix Nuts 5KG,0.0
SF-SP1529,Digital Frequency Controller ,0.0
SF-SP1528,DFC -05 frequency controller ,0.0
SF-SP1527,Head Clamp ,1.0
SF-SP0212,Coupling,2.0
SF-SP1544,Pattern Roll,6.0
SF-SP0213,Proximity switch:Magnetic:,2.0
SF-SP1543,Brush ,8.0
SF-SP0210,Piston,2.0
SF-SP1542,Potentiometer  10K with Knob,12.0
SF-SP0211,MICA Band Heater,0.0
SF-SP0216,Bearing lot no 0602,9.0
SF-SP1548,Roller Wrap,4.0
SF-SP0217,6905Z Bearing ,7.0
SF-SP1547,Spring ,5.0
SF-SC0061,SOLO STIX Lime Chili 8TRYx6CANx40g,0.0
SF-SP0214,AS2S(56x19-13.75)6807,20.0
SF-SP1546,Spring Compression ,6.0
SF-SC0060,SOLO STIX BBQ -8TRYx6CANx40g,0.0
SF-SP0215,DDUCM AS2S(46x17-12),20.0
SF-SP1545,Roller ,4.0
SF-SP0209,Bush,2.0
SF-SP0207,Retaining Ring,2.0
SF-SP0208,Seal Kit,2.0
SF-SP0267,Spring Coil Compressive,11.0
SF-SP1599,Conveyor 1650mm,0.0
SF-SP0268,Air Combination,1.0
SF-SP1598,Conveyor 1200mm,0.0
SF-CR0002,CLR-CURCUMIN,0.0
SF-SP0265,Bearing:Radial,0.0
SF-SP1597,Load  cell 839 ,4.0
SF-CR0001,CLR-PAPRIKA OIL,227.585
SF-SP0266,Sheet Display,2.0
SF-SP1596,Motor Position Card 839,1.0
SF-CR0004,CLR-NATURAL RED,0.0
SF-CR0003,CLR-BEET ROOT COLOR,0.0
SF-SP0269,Spring Coil Tension,16.0
SF-CR0005,Sonarex Lake Carmoisine-200416 (F1430296),0.0
SF-SC0012,SOLO STIX PAPRIKA -8TRYx6CANx37g,0.0
SF-SP1591,Precision Balance Scale(Small),0.0
SF-SC0011,SOLO STIX LEMON CHILLI -8TRYx6CANx37g,0.0
SF-SP0260,Joint:Gasket,8.0
SF-SP1590,Rubber Clamp Y12462,0.0
SF-SC0010,SOLO STIX KETCHUP -8TRYx6CANx37g,0.0
SF-SC0016,SOLO STIX SALT -8TRYX6CANX37G,0.0
SF-SP0263,Air Cylinder ,3.0
SF-SP1595,Step Motor 0839,4.0
SF-SC0015,SOLO STIX HOT & SPICY -8TRYx6CANx42g,0.0
SF-SP0264,Bearing:Redial:Deep:Groove,4.0
SF-SP1594,ZK Teco TF1700 Weigher Proof Bio Metric Deviece ,0.0
SF-SC0014,SOLO STIX HOT & SPICY -8TRYx6CANx40g,0.0
SF-SP0261,Washer Thrust,6.0
SF-SP1593,SMC Hand Valve 3/8'',0.0
SF-SC0013,SOLO STIX RED HOT CHILLI -8TRYx6CANx37g,0.0
SF-SP0262,Pin Bottom Bolt,12.0
SF-SC0019,SOLO FPC KETCHUP 4bx20px13g,0.0
SF-SC0018,SOLO FPC KETCHUP 5x20x12g,0.0
SF-SC0017,SOLO FPC KETCHUP 50x12g,0.0
SF-CR0008,NECOL YELLOW 25423984 (Curcumin) Symega,211.8083
SF-CR0007,NECOL ORANGE 1899980 - Symega,0.0
SF-CR0009,NECOL PINK 1267790 (Beet root) Symega,33.7
SF-SP0278,Stopper:Heat Pipe:,6.0
SF-SP0279,Tube:Contracting:,0.0
SF-SP0276,Joint House Nipple,8.0
SF-SP0277,Plate A SQ,41.0
SF-SC0001,SOLO STIX BBQ -8TRYx6CANx42g,0.0
SF-SP0270,Stopper Feeder R,9.0
SF-SP0271,SOCKET:COMMON,5.0
SF-SC0005,SOLO FPC FR. CHEESE 5X20x12g,0.0
SF-SP0274,Spring Coil Compressive  ,8.0
SF-SC0004,SOLO STIX CHICKEN -8TRYx6CANx45g,0.0
SF-SP0275,Plate A SQ,16.0
SF-SC0003,SOLO STIX CHICKEN -8TRYx6CANx42g,0.0
SF-SP0272,Joint:Elbow Union,25.0
SF-SC0002,SOLO STIX CHICKEN -8TRYx6CANx40g,0.0
SF-SP0273,Spring Coil Compressive,2.0
SF-SC0009,SOLO STIX HOT & SPICY -8TRYx6CANx37g,0.0
SF-SC0008,SOLO STIX CHICKEN -8TRYx6CANx37g,0.0
SF-SC0007,SOLO FPC HOT 5x20x12g,0.0
SF-SC0006,SOLO STIX BBQ -8TRYx6CANx37g,0.0
SF-SP0245,Rod End Type IF (PH56),5.0
SF-SP1577,Sensor 24v DDT,1.0
SF-SP0246,Pulley Heater Drive,2.0
SF-SP1576,Drive Shaft ,0.0
SF-SP0243,Threaded Rod Turn Buckle mm,6.0
SF-SP1575,Seaming Head S1,0.0
SF-SP0244,Rod End Type IF (PH54),2.0
SF-SP1574,Drive Gear  set 86 ,0.0
SF-SC0030,SOLO STIX RED HOT CHILLI 8X6X40g,0.0
SF-SP0249,Speed Control:One Touch:Inline,12.0
SF-SP0247,Base :Carrier:Rear ,1.0
SF-SP1579,Lense P0064075,0.0
SF-SP0248,Harness C5 Motor (Cable 1 Set),2.0
SF-SP1578,Holder P0064074,3.0
SF-SC0034,SOLO FPC SALTED 2bx25px15g,0.0
SF-SC0033,SOLO FPC SALTED 50x15g,0.0
SF-SC0032,SOLO STIX RED HOT CHILLI -8TRYx6CANx45g,0.0
SF-SC0031,SOLO STIX RED HOT CHILLI -8TRYx6CANx42g,0.0
SF-SC0038,SOLO STIX SALT -8TRYx6CANx45g,0.0
SF-SP0241,Accessory:Net Tube,1.0
SF-SP1573,24V Sensor BR20M TDT,0.0
SF-SC0037,SOLO STIX SALT -8TRYx6CANx42g,0.0
SF-SP0242,Accessory Net Tube:1.6M,3.0
SF-SP1572,RL2100- Regulatore Float Ball set (Float switch),0.0
SF-SC0036,SOLO STIX SALT -8TRYx6CANx40g,0.0
SF-SP1571,F13W White PVC Conveyor belt,0.0
SF-SC0035,SOLO FPC SALTED 4bx25px15g,0.0
SF-SP0240,Harness C2,0.0
SF-SP1570,Fastener G005-1200mm SS,2.0
SF-SC0039,SOLO FPC SALT & VIN 50x12g,0.0
SF-CR0011,Caramel Powder Grade (ITC/DP02C/22-23),5.0
SF-SP0256,Spring  Coil Tension ,0.0
SF-SP1588,Stop Film Brake Y08080,0.0
SF-CR0010,Liquid Grade Green (B-072/ITC/22-23),5.0
SF-SP0257,PWP P-5492 A SU2,0.0
SF-SP1587,Spring NWC L2068 SS G63 P0045522,0.0
SF-SP0254,Slide Stripper,8.0
SF-SP1586,Stud Brake Pivot Y05386 P0011412,0.0
SF-CR0012,Iron Oxide Powder Grade Black (ITC/A102BIO/22-23),5.0
SF-SP0255,Timing Pulley H:AF,0.0
SF-SP1585,Y05340C Assembly Reverse Brake Shoe,0.0
SF-SP0258,C Ring: For Shaft,26.0
SF-SP0259,C Ring:for Shaft,34.0
SF-SP1589,Assembly Brake Finder Y10391,2.0
SF-SC0023,SOLO STIX KETCHUP -8TRYx6CANx40g,0.0
SF-SP1580,Lamp P0064076,2.0
SF-SC0022,SOLO FPC KETCHUP 4bx25px15g,0.0
SF-SC0021,SOLO FPC KETCHUP 2bx25px15g,0.0
SF-SC0020,SOLO FPC KETCHUP 50x14g,0.0
SF-SC0027,SOLO STIX PAPRIKA 8x6CANx40g,0.0
SF-SP0252,Heater,2.0
SF-SP1584,Spring NWC L- 2069 WM,0.0
SF-SC0026,SOLO STIX Lime Chili 8TRYx6CANx42g,0.0
SF-SP0253,Washer Thrust,6.0
SF-SP1583,Pad Pressure Y12093,1.0
SF-SC0025,SOLO STIX KETCHUP -8TRYx6CANx45g,0.0
SF-SP0250,Filter Noise AC Line,3.0
SF-SP1582,Air cylinder P0013016,1.0
SF-SC0024,SOLO STIX KETCHUP -8TRYx6CANx42g,0.0
SF-SP0251,Insert Flanged 10 Long Blind M6 REV A,0.0
SF-SP1581,Belt P0041680  ,2.0
SF-SC0029,SOLO STIX PAPRIKA -8TRYx6CANX45,0.0
SF-SC0028,SOLO STIX PAPRIKA 8x6x42g,0.0
SF-XL0121,XL FPC FRENCH CHEESE-12x150g,0.0
SF-XL0122,XL FPC FRENCH CHEESE-12x160g,0.0
SF-XL0120,XL FPC FRENCH CHEESE-12x140g,0.0
SF-XL0125,XL FPC FRENCH CHEESE - 12px120g,654.0
SF-XL0126,XL FPC HOT - 4x25x12g,0.0
SF-XL0123,XL FPC FRENCH CHEESE-12x165g,0.0
SF-XL0124,XL FPC FRENCH CHEESE - 12 X 185g,0.0
SF-XL0129,XL FPC HOT - 60px14g,0.0
SF-XL0127,XL FPC HOT - 4x24x12g,0.0
SF-XL0128,XL FPC HOT - 5x20x13g,0.0
SF-XL0110,XL FPC FRENCH CHEESE - 48px50g,0.0
SF-XL0111,XL FPC FRENCH CHEESE-50x55g,0.0
SF-XL0114,XL FRENCH CHEESE - 28px55g,0.0
SF-XL0115,XL FPC FRENCH CHEESE - 28px60g,0.0
SF-XL0112,XTREME CRINKLE F.CHEESE-28X55g (SF),0.0
SF-XL0113,XL FPC FRENCH CHEESE-18px55g,0.0
SF-XL0118,XL FPC FRENCH CHEESE - 12x90g,0.0
SF-XL0119,XL FPC FRENCH CHEESE - 12x100g,208.905
SF-XL0116,XL FPC FRENCH CHEESE- 18px70g-GH,0.0
SF-XL0117,XL FPC FRENCH CHEESE- 28px70g-CC,0.0
SF-SP0289,Collar ,15.0
SF-XL0140,XL FPC HOT-5bx12px20g,0.0
SF-SP0287,Spring Coil Compressive,3.0
SF-SP0288,Collar::,10.0
SF-XL0143,XL FPC HOT - 4bx25px17g,0.0
SF-XL0144,XL FPC HOT -82px20g,0.0
SF-XL0141,XL FPC HOT -100px15g,0.0
SF-XL0142,XL FPC HOT 4bx25px17g,0.0
SF-SP0281,Spring Coil Compressive,16.0
SF-SP0282,Washer Thrust,22.0
SF-SP0280,Spring Coil Compressive,1.0
SF-SP0285,Spring Screw,1.0
SF-SP0286,Cam AS WH1,2.0
SF-SP0283,Bracket:Sensor,2.0
SF-SP0284,Backseal Tape(25Mtrs Per Rool),1.0
SF-XL0147,XL FPC HOT - 85x20g,0.0
SF-XL0148,XL FPC HOT - 50x22g,4.0
SF-XL0145,XL FPC HOT - 50px20g,0.0
SF-XL0146,XL FPC HOT - 5bx15x20g,0.0
SF-XL0149,XL FPC HOT - 5bx15px25g,0.0
SF-SP0298,Joint:House Elbow,8.0
SF-SP0299,Spring Coil Tension Load Cell,23.0
SF-XL0132,XL FPC HOT - 4x25x14g,0.0
SF-XL0133,XL FPC HOT - 5bagx20x10g,195.0
SF-XL0130,XL FPC HOT - 5b x20px14g,0.0
SF-XL0131,XL FPC HOT - 50x14g,0.0
SF-SP0292,Gear:Spur,9.0
SF-SP0293,Spring Plate,12.0
SF-SP0290,Collar ,2.0
SF-SP0291,Nut,1.0
SF-SP0296,Spring Plate,8.0
SF-SP0297,Spring Plate,8.0
SF-SP0294,Bearing Linear bush,0.0
SF-SP0295,Timing Belt P5M (225),2.0
SF-XL0136,XL FPC HOT - 10x10x14g,0.0
SF-XL0137,XL FPC HOT 50px15g,0.0
SF-XL0134,XL FPC CHILLI - 100x13g,0.0
SF-XL0135,XL FPC HOT-2x25x14g,0.0
SF-XL0138,XL FPC HOT  2bx25px15g,0.0
SF-XL0139,XL FPC HOT 4bx25px15g,0.0
SF-PRT0001,Mango + Flaming Hot  20px48g,0.0
SF-PRT0003,Truffle + Nacho + Sea Salt,0.0
SF-PRT0002,Vanila + Caramel  20px48g,0.0
SF-XL0100,XL FPC FRENCH CHEESE-50x30g,0.0
SF-XL0109,XL FPC FRENCH CHEESE - 28px50g,0.0
SF-XL0103,XL FPC FRENCH CHEESE-50x35g,0.0
SF-XL0104,XL FPC STICKS F.CHEESE-8TRYx6CANx40g,0.0
SF-XL0101,XL FPC FRENCH CHEESE - 85px30g,0.0
SF-XL0102,XL STICKS F.CHEESE -8TRYx6CANx35g,0.0
SF-XL0107,XL FPC FRENCH CHEESE- 28px40g-GH,0.0
SF-XL0108,XL FPC FRENCH CHEESE - 48x40g,0.0
SF-XL0105,XL FPC FRENCH CHEESE-2x25x40g,0.0
SF-XL0106,XL FPC FRENCH CHEESE-50x40g,0.0
LPM02454,Carton - 12x144g Galaxy Chocolate Date Assorted Pouch,5.0
SF-DF0001,DURRAH-FRIZZ S/V 5X20X14g,0.0
LPM02452,Carton - 12x96g Galaxy Chocolate Date Milk Pouch,346.0
SF-DF0003,PS Frizz Salt & Vinegar 5X20X12g,38.0
LPM02453,Carton - 12x96g Galaxy Chocolate Date Dark Pouch,246.0
SF-DF0002,DURRAH-FRIZZ S/V 5x20x16g,0.0
SF-XL0194,XL FPC JALAPENO-12px75g,0.0
SF-XL0195,XL FPC JALAPENO-6px150g,0.0
SF-XL0192,XL FPC JALAPENO-24x70g,0.0
SF-XL0193,XL JALAPENO - 18px70g,0.0
SF-XL0198,XL FPC KETCHUP - 4x24x12g,0.0
SF-XL0199,XL FPC KETCHUP - 5x20x13g,0.0
SF-XL0196,XL FPC JALAPENO-6px160g,0.0
SF-XL0197,XL FPC KET - 4x25x12g,0.0
SF-XL0190,XL FPC HOT - 8x250g,0.0
SF-XL0191,XL FPC JALAPENO-12px70g,0.0
SF-XL0161,XL FPC HOT - 50px27g(PRO),0.0
SF-XL0162,XL FPC HOT-25px30g,0.0
SF-XL0160,XL FPC HOT - 2x25x27g,0.0
SF-XL0165,XL FPC HOT-50x30g(PRO),0.0
SF-XL0166,XL-FPC-HOT-25x35g,0.0
SF-XL0163,XL-FPC-HOT-2bx25px30g,0.0
SF-XL0164,XL FPC HOT -50px30g,0.0
SF-XL0169,XL FPC HOT-50px35g,0.0
SF-XL0167,XL STICKS HOT -8TRYx6CANx35g,0.0
SF-XL0168,XL-FPC-HOT-2bx25px35g,0.0
SF-XL0150,XL FPC HOT - 5bX14pX25g,0.0
SF-XL0151,XL FPC HOT - 2x25x25g,0.0
SF-XL0154,XL FPC HOT - 5x10x25g Strip,0.0
SF-XL0155,XL FPC HOT- 5X14pX26gm,0.0
SF-XL0152,XL FPC HOT 10x7px25g PRO,0.0
SF-XL0153,XL FPC HOT - 50x25g,0.0
SF-XL0158,XL FPC HOT - 5x10x26g STR,0.0
SF-XL0159,XL FPC HOT - 50x27g,0.0
SF-XL0156,XL Duplex 4bx14px26g Hot,0.0
SF-XL0157,XL FPC HOT - 50x26g,0.0
SF-XL0183,XL FPC HOT- 28px70g-CC,0.0
SF-XL0184,XL FPC HOT - 12x90g,0.0
SF-XL0181,XL FPC HOT - 28px60g,0.0
SF-XL0182,XL FPC HOT- 18px70g-GH,0.0
SF-XL0187,XL FPC HOT - 12 x 165g,39.0
SF-XL0188,XL FPC HOT - 12 X 185g,0.0
SF-XL0185,XL FPC HOT - 12p x 135g,0.0
SF-XL0186,XL FPC HOT-12x140g,0.0
SF-XL0180,XL FPC HOT - 28px55g,0.0
SF-XL0189,XL FPC HOT - 12px120g,160.0
SF-XL0172,XL FPC HOT-50px40g,0.0
SF-XL0173,XL FPC HOT- 28px40g-GH,0.0
SF-XL0170,XL FPC STICKS HOT-8TRYx6CANx40g,0.0
SF-XL0171,XL FPC HOT-2x25x40g,0.0
SF-XL0176,XL FPC HOT - 28px50g,0.0
SF-XL0177,XL FPC HOT - 48px50g,0.0
SF-XL0174,XL FPC HOT - 48x40g,0.0
SF-XL0175,XTREME FPC RIPPLED FLAMIN HOT - 28p x 50g,235.0357
SF-XL0178,XL FPC HOT - 50x55g,0.0
SF-XL0179,XL FPC HOT - 18px55g,0.0
SF-PLT0011,PELLET-FRENCH FRIES,0.0
SF-PLT0012,PELLET-STANT CUT (Ket + Hot),3592.752
SF-PLT0006,PELLET-COCKTAIL PK-A,165.481
SF-PLT0007,PELLET-COCKTAIL CC,156.4803
SF-PLT0008,PELLET-SPIRAL (In House),4889.688
SF-PLT0009,PELLET-FRENCH FRIES (In House),967.01
SF-PLT0002,PELLET-SLANT CUT (Vegetable),37448.334
SF-PLT0003,PELLET-CB DL TRIANGULAR (In House),3939.18
SF-PLT0004,PELLET-COCKTAIL PLAIN,0.0
SF-PLT0005,PELLET-COCKTAIL BT,63.318
SF-SP1603,F110KE Kaeser Filter G2 102129.00711 With float ,0.0
SF-SP1602,Amplifier Fibre Optic NPN 24VDC REV E,3.0
SF-SP1601,Motor for Flavor drum R17DRN71MS4/DH,0.0
SF-SP1600,Conveyor 1750mm,0.0
SF-PLT0001,PELLET-SLANT CUT (Plain),3015.855
MB-M0192,Malban SUPER BIG SYRIAN PISTA 5 KG BULK,0.0
LR-E0555,Arabian Delights Fig Assorted  250gm Pouch,0.0
LR-E0554,Arabian Delights Fig Assorted 100g Pouch,0.0
SF-SP0300,(K)Male Elbow,5.0
SF-SP1632,"SB20 BAND 43.25"" LONG FABRIC BANDS",7.0
SF-SP0301,Threaded Rod:Hex:AF,8.0
SF-SP1631,16 Bar Air Regulator ,0.0
SF-SP1630,Mechanical seal M32N69/32-00,1.0
SF-SP0304,Brearing Scale,4.0
SF-SP1636,SMC Round Cylinder ,3.0
SF-SP0305,Switch: Select,2.0
SF-SP1635,Linx Solvent (1 LTR/Cartridge),56.0
SF-SP0302,Plate A: Knife lever,6.0
SF-SP1634,Linx Black Ink ,2.0
SF-SP0303,Cam AS :WH2,2.0
SF-SP1633,Gear Main Drive ,2.0
SF-SP1628,Mechanical seal M32N69/28-00-R 019535001,0.0
SF-SP1627,Pack Station (Size:L50XW50CM),0.0
SF-SP1626,Base:Rear :Cutter ,1.0
SF-SP0311,Spring Plate,16.0
SF-SP1643,Belt Timing Light Pitch 69 Teeth,0.0
SF-SP0312,Gear SPUR,2.0
SF-SP1642,BACK SEAL M11,1.0
SF-SP1641,Shaft:Main:,1.0
SF-SP0310,Poking Cylinder ,2.0
SF-SP1640,Cutter tape,8.0
SF-SP0315,Motor Stepping,3.0
SF-SP1647,Cutter Triangle 2.262x2.200 UHMW 7R,0.0
SF-SP0316,Damper Scale,6.0
SF-SP1646,Cutter Trangle1.393x1.500 UHMW 9Row,0.0
SF-SP0313,Hex Head Bold Shutter ,2.0
SF-SP1645,F2010W PU Food grade White belt 4000x300x1,0.0
SF-SP0314,Set Screw:Hex Socket:Top,102.0
SF-SP1644,F2020W PU Food grade white -6100x590x2mm fastener ,0.0
SF-SP0308,Bearing:Radial:Deep Groove,12.0
SF-SP0309,Spring Plate,8.0
SF-SP1639,Timer relay (Single ),2.0
SF-SP0306,CABLE FAN AS:,1.0
SF-SP1638,PWB (SCU2 Board),1.0
SF-SP0307,Block B:Sesor:2,2.0
SF-SP1637,Motor :Stepping ,3.0
SF-SP1610,Bearing PL FLG 8E 7/12R7X16,0.0
SF-SP1614,PINION th19 PEEK Nature ,0.0
SF-SP1613,Worm Gear Set Red.c T20/21/22,2.0
SF-SP1612,Gear T 20 t20/21/22,0.0
SF-SP1611,Screw Shaft Seal Silicon,6.0
SF-PLT0024,Dotco Corn Chicken Legs Pellet,1137.0
SF-PLT0025,PELLET-SLANT CUT RAJA LIGHT HONEY BUTTER,394.0
SF-PLT0026,PELLET-SLANT CUT RAJA LIGHT MAGIC MASALA,459.0
SF-SP1607,Power supply 3W100-240 VAC I/P 24 VDC 0.13A O/P,0.0
SF-SP1606,Condensate Drain 8.6352.0,0.0
SF-SP1605,Auto Drain Drain AO025DNFX,1.0
SF-SP1604,Filter Element ,0.0
SF-SP1609,Intermediate Shaft  T20/21/22,0.0
SF-SP1608,KnifeSliceing Crinkle SS PKG/96,1.0
SF-SP1621,SMC Air Flow Display ,2.0
SF-SP1620,Magnetic Valve,2.0
LR-E0597,Chocodate Exclusive Real Caramel  Bulk 1kg V2,0.0
SF-SP1625,Base:Front,0.0
SF-SP1624,Terminal Round ,2.0
LR-E0599,Chocodate Exclusive Real Caramel 250g Pouch V2,0.0
SF-SP1623,SPEED CONTROLLER ,4.0
LR-E0598,Chocodate Exclusive Real Caramel 100g Pouch V2,0.0
SF-SP1622,Air Flow  Swithc SMC (Sensor),4.0
SF-PLT0020,PELLET - BUGLES (GM),265950.0
SF-PLT0021,PELLET- Pretzels Mini Knots Salted (GM),1320.8
SF-PLT0022,PELLET-Pretzels Bagel Slated (GM),1013.23
SF-PLT0023,Pillow Bites Fiery Hot (GM),0.0
SF-PLT0017,PELLET CRISPY WHEEL (FICOM - S/V),2428.0
SF-PLT0018,PELLET-SLANT CUT (Chicken)Lulu,825.0
SF-PLT0019,PELLET - PILLOW BITES (GM),0.0
SF-PLT0013,PELLET-TWISTER (In House),5205.4191
SF-PLT0014,PELLET-COCKTAIL-PK-B,79.0
SF-PLT0015,PAPRIKA + BEET ROOT,0.0
SF-PLT0016,PELLET CRISPY (FICOM- SWEET & SOUR),858.0
SF-SP1618,Cam:Lock,0.0
SF-SP1617,Air Shaft::,0.0
SF-SP1616,Plate Square,0.0
SF-SP1615,Gear T95 T20,1.0
SF-SP1619,Magnetic Valve Manifold,2.0
SF-SP2523,Cutter Lever Pivot,14.0
SF-SP2522,Shaft Bushing ,10.0
SF-XO0059,XL Lahloob Firey Cheese 20g x 5box x 14pkts,0.0
SF-SP2521,Ring Gear Rotary Jaw R2B R2C R3 REV H,0.0
SF-SP2520,Split Driven Gear Assy Rotary Jaws R3 REV C,0.0
SF-SP2527,TRansformer 2x7000V Scaldalai Italy ,0.0
SF-SP2526,Honey Comb Big Hole Die Plate Turbo D90/E90,0.0
SF-TW0060,TWINKLE HONEY BBQ 12g x 6bags x 12pkts ,0.0
SF-SP2525,Honey Comb Die Plate Turbo D90/E90,0.0
SF-SP2524,Knob,6.0
SF-TW0063,TWINKLE PEPPER JACK 200g x 8pkts ,228.75
SF-TW0064,TWINKLE Four CHEESE 22g x 36pkts ,0.0
SF-TW0061,TWINKLE NACHO CHEESE 12g x 6bags x 12pkts ,0.0
SF-TW0062,TWINKLE FOUR CHEESE 200g x 8pkts ,576.0
SF-TW0067,TWINKLE Four CHEESE 10g x 80pkts ,0.0
SF-TW0068,TWINKLE PEPPER JACK 10g x 80pkts ,0.0
SF-TW0065,TWINKLE PEPPER JACK 22g x 36pkts ,0.0
SF-TW0066,TWINKLE KETCHUP 22g x 36pkts ,0.0
SF-TW0058,TWINKLE HONEY BBQ 18g x 4bags x 16pkts ,0.0
SF-TW0059,TWINKLE NACHO CHEESE 18g x 4bags x 16pkts ,0.0
SF-SP2519,Vertical Heater,4.0
SF-SP2518,Vacum Conveyor ,2.0
SF-SP2517,Card Multicom Port ,1.0
SF-SP1203,Seaming Chuck,0.0
SF-SP2534,Cylinder Duble Acting,0.0
SF-XO0069,XL Lahloob Salad 100g x 12pkts ,192.0
SF-SP1202,CutterRound 1.500x1.500UHMW7Row,0.0
SF-SP2533,Line Filter Element,0.0
SF-SP1201,Belt Bal Weave 15'' GALV,0.0
SF-SP2532,Control Box Siemens,1.0
